tier,year_month,median_pace,p25,p75,run_count,athlete_count,avg_runs_per_athlete
Mid (2-3x/wk),2018-12-01,5.7503192796580205,5.258232337101562,6.361512723778323,554,77,7.194805194805195
Mid (2-3x/wk),2019-01-01,5.703585441395702,5.245729228845115,6.2105902909671045,629,77,8.168831168831169
Mid (2-3x/wk),2019-02-01,5.786474942567628,5.206751125205189,6.418953323324527,614,77,7.974025974025974
Mid (2-3x/wk),2019-03-01,5.7487689526253165,5.211575311535035,6.344672641086477,689,77,8.948051948051948
Mid (2-3x/wk),2019-04-01,5.767645338013935,5.260243632336656,6.525514715169889,657,77,8.532467532467532
Mid (2-3x/wk),2019-05-01,5.920171723353732,5.348843515966129,6.805609399233827,688,77,8.935064935064934
Mid (2-3x/wk),2019-06-01,6.035451180720612,5.347762169767805,7.192343404042569,561,77,7.285714285714286
Mid (2-3x/wk),2019-07-01,5.897122159484227,5.33871390856371,6.663093962129332,509,77,6.6103896103896105
Mid (2-3x/wk),2019-08-01,5.846086053789218,5.365088996763754,6.691367022999677,505,77,6.558441558441558
Mid (2-3x/wk),2019-09-01,5.759196764079366,5.279992930789878,6.46178136944029,643,77,8.35064935064935
Mid (2-3x/wk),2019-10-01,5.602488803068094,5.0868783497212355,6.22459685176603,639,77,8.2987012987013
Mid (2-3x/wk),2019-11-01,5.575320512820513,5.137746442094269,6.027591542031975,473,77,6.142857142857143
Mid (2-3x/wk),2019-12-01,5.749688375752285,5.246093163901661,6.266389230968538,512,77,6.64935064935065
Mid (2-3x/wk),2020-01-01,5.73230230432725,5.29792825159966,6.469149705797501,78,77,1.0129870129870129
High (4x+/wk),2010-01-01,5.994486796146145,5.994419169547499,5.994500749134273,3,30,0.1
High (4x+/wk),2011-11-01,3.996469876382972,3.996469876382972,3.996469876382972,1,30,0.03333333333333333
High (4x+/wk),2012-03-01,6.1021110222658805,5.443960135505038,6.760261909026722,2,30,0.06666666666666667
High (4x+/wk),2012-09-01,5.443876181907151,5.233289156217079,5.831232745168648,9,30,0.3
High (4x+/wk),2012-10-01,5.204634000602362,5.025149118378489,5.662944316682895,9,30,0.3
High (4x+/wk),2012-11-01,5.721028402746057,5.27389456639271,7.922956121787956,6,30,0.2
High (4x+/wk),2012-12-01,5.671282883300498,5.456305043825518,9.699807971483892,7,30,0.23333333333333334
High (4x+/wk),2013-01-01,5.227036584698956,4.763206010881615,5.436531575019342,13,30,0.43333333333333335
High (4x+/wk),2013-02-01,5.389024056892551,5.112996884274791,5.592641373415363,19,30,0.6333333333333333
High (4x+/wk),2013-03-01,5.258368465915636,4.563709382986492,5.74227326465124,25,30,0.8333333333333334
High (4x+/wk),2013-04-01,6.190394039234318,5.06612712933365,8.594252298387433,18,30,0.6
High (4x+/wk),2013-05-01,5.258774719118137,4.88659999818342,7.396757817740215,17,30,0.5666666666666667
